Error fetching acc data: 'SensorHandler' object has no attribute 'acc_detect_accident'
2024-12-15 20:56:33: Acceleration=9.792537975417813, Status=NORMAL
2024-12-15 20:56:33: Acceleration=9.81177863590491, Status=NORMAL
2024-12-15 20:56:33: Acceleration=9.767676284562262, Status=NORMAL
2024-12-15 20:56:34: Acceleration=9.788227623017356, Status=NORMAL
2024-12-15 20:56:34: Acceleration=9.835298673655009, Status=NORMAL
2024-12-15 20:56:34: Acceleration=9.763856819925207, Status=NORMAL
2024-12-15 20:56:34: Acceleration=9.789928498206717, Status=NORMAL
2024-12-15 20:56:34: Acceleration=9.8211710096098, Status=NORMAL
2024-12-15 20:56:34: Acceleration=9.81282324308351, Status=NORMAL
2024-12-15 20:56:34: Acceleration=9.779637007578554, Status=NORMAL
2024-12-15 20:56:34: Acceleration=9.788901879169083, Status=NORMAL
2024-12-15 20:56:34: Acceleration=9.801295832694777, Status=NORMAL
2024-12-15 20:56:34: Acceleration=9.883283867217413, Status=NORMAL
2024-12-15 20:56:35: Acceleration=9.852568193115944, Status=NORMAL
2024-12-15 20:56:35: Acceleration=9.809153888078217, Status=NORMAL
2024-12-15 20:56:35: Acceleration=9.8211710096098, Status=NORMAL
2024-12-15 20:56:35: Acceleration=9.829806712240073, Status=NORMAL
2024-12-15 20:56:35: Acceleration=9.813353147624923, Status=NORMAL
2024-12-15 20:56:35: Acceleration=9.810188581265908, Status=NORMAL
2024-12-15 20:56:35: Acceleration=9.8211710096098, Status=NORMAL
2024-12-15 20:56:35: Acceleration=9.812007949446432, Status=NORMAL
2024-12-15 20:56:35: Acceleration=9.892315199183658, Status=NORMAL
2024-12-15 20:56:35: Acceleration=9.789938712780588, Status=NORMAL
2024-12-15 20:56:36: Acceleration=9.810861328140358, Status=NORMAL
2024-12-15 20:56:36: Acceleration=9.792415432363969, Status=NORMAL
2024-12-15 20:56:36: Acceleration=9.772926890138901, Status=NORMAL
2024-12-15 20:56:36: Acceleration=9.82155283038278, Status=NORMAL
2024-12-15 20:56:36: Acceleration=9.792798374315689, Status=NORMAL
2024-12-15 20:56:36: Acceleration=9.830066123887468, Status=NORMAL
2024-12-15 20:56:36: Acceleration=9.948587839487573, Status=NORMAL
2024-12-15 20:56:36: Acceleration=9.880931130212375, Status=NORMAL
2024-12-15 20:56:36: Acceleration=326.7856927712717, Status=NORMAL
2024-12-15 20:56:36: Acceleration=9.80056120842067, Status=NORMAL
2024-12-15 20:56:37: Acceleration=9.792798374315689, Status=NORMAL
2024-12-15 20:56:37: Acceleration=9.801428467320466, Status=NORMAL
2024-12-15 20:56:37: Acceleration=9.82012729041737, Status=NORMAL
2024-12-15 20:56:37: Acceleration=9.790311537433322, Status=NORMAL
2024-12-15 20:56:37: Acceleration=9.80419298055684, Status=NORMAL
2024-12-15 20:56:37: Acceleration=9.831881813772986, Status=NORMAL
2024-12-15 20:56:37: Acceleration=9.781804536996228, Status=NORMAL
2024-12-15 20:56:37: Acceleration=9.809153888078217, Status=NORMAL
2024-12-15 20:56:37: Acceleration=9.80063263264163, Status=NORMAL
2024-12-15 20:56:37: Acceleration=9.791741418154382, Status=NORMAL
2024-12-15 20:56:38: Acceleration=9.818360351912126, Status=NORMAL
2024-12-15 20:56:38: Acceleration=9.778599081668089, Status=NORMAL
2024-12-15 20:56:38: Acceleration=9.791904819798853, Status=NORMAL
2024-12-15 20:56:38: Acceleration=9.791741418154382, Status=NORMAL
2024-12-15 20:56:38: Acceleration=9.78927474330964, Status=NORMAL
2024-12-15 20:56:38: Acceleration=9.78927474330964, Status=NORMAL
2024-12-15 20:56:38: Acceleration=9.7909856500763, Status=NORMAL
2024-12-15 20:56:38: Acceleration=9.81161556523695, Status=NORMAL
2024-12-15 20:56:38: Acceleration=9.791741418154382, Status=NORMAL
2024-12-15 20:56:38: Acceleration=9.78927474330964, Status=NORMAL
2024-12-15 20:56:39: Acceleration=9.78957608888148, Status=NORMAL
